sysctl_key,risk,type,allowed_value_shape,효과_20자내,값의_기술적_의미,값을_바꿨을_때의_효과,값을_바꿀_때의_주의사항
net.ipv4.ip_local_reserved_ports,medium,same_shape,현재값과 같은 형식,예약포트 충돌 방지,ephemeral port allocator가 자동 할당하지 않아야 하는 로컬 포트 목록이다.,서비스 고정 포트나 NAT 정책 포트를 임시 포트 할당에서 제외해 충돌 가능성을 줄일 수 있다.,형식 오류가 나면 포트 예약 정책이 깨진다. 범위를 과하게 잡으면 ephemeral port 풀이 줄어든다. 기존 예약 목록을 덮어쓰지 않게 봐야 한다.
net.ipv4.tcp_rmem,medium,int_triplet,three ascending ints each 4096-134217728,TCP 수신여유 증가,TCP receive buffer의 최소값 기본값 최대값을 나타내는 세 값이다.,기본값이나 최대값을 올리면 TCP autotuning이 수신 buffer를 더 크게 키울 수 있어 RX throughput 압박을 줄일 수 있다.,세 값은 오름차순이어야 한다. net.core.rmem_max와 실제 메모리 여유의 제한을 받는다. 과도하면 socket 메모리 사용이 증가한다.
net.ipv4.tcp_wmem,medium,int_triplet,three ascending ints each 4096-134217728,TCP 송신여유 증가,TCP send buffer의 최소값 기본값 최대값을 나타내는 세 값이다.,기본값이나 최대값을 올리면 TCP 송신 buffer 여유가 커져 고대역폭 송신에서 throughput 제한을 완화할 수 있다.,세 값은 오름차순이어야 한다. net.core.wmem_max와 실제 메모리 여유의 제한을 받는다. 과도하면 지연과 bufferbloat가 커질 수 있다.
net.ipv4.tcp_mem,high,same_shape,현재값과 같은 형식,TCP 메모리압 조정,TCP 전체 메모리 사용량의 low pressure high 기준을 나타내는 커널 메모리 임계값이다.,임계값을 조정하면 많은 TCP socket이 있는 환경에서 memory pressure 진입 시점을 바꿀 수 있다.,커널 메모리 압력 정책에 직접 영향이 간다. 값 단위와 커널 자동 산정값을 이해해야 한다. 과도하면 OOM이나 TCP 성능 저하를 만들 수 있다.
net.ipv4.tcp_moderate_rcvbuf,medium,same_shape,현재값과 같은 형식,수신자동조절 전환,TCP receive buffer autotuning 사용 여부를 제어한다.,켜면 RTT와 처리량에 맞춰 receive buffer가 자동으로 커져 고대역 수신 성능이 좋아질 수 있다.,끄면 수신 buffer가 고정에 가까워져 throughput이 낮아질 수 있다. 켜도 rmem 상한과 메모리 여유가 제한한다. latency sensitive 환경은 관찰이 필요하다.
net.ipv4.tcp_keepalive_time,low,int,300-7200,죽은연결 정리 예상,TCP keepalive probe를 보내기 전 idle 상태로 기다리는 시간이다.,값을 낮추면 죽은 장기 idle 연결을 더 빨리 감지해 socket 자원을 정리할 수 있다.,keepalive probe 트래픽이 늘 수 있다. NAT나 방화벽 idle timeout과 맞지 않으면 연결 유지 전략이 흔들릴 수 있다.
net.ipv4.tcp_keepalive_intvl,low,int,10-120,죽은연결 감지 단축,TCP keepalive probe 사이의 전송 간격이다.,값을 낮추면 keepalive 실패 판단까지 걸리는 시간이 줄어 죽은 연결을 더 빨리 정리할 수 있다.,간격이 너무 짧으면 불필요한 probe가 증가한다. 일시적인 네트워크 지연을 죽은 연결로 오판할 가능성을 봐야 한다.
net.ipv4.tcp_keepalive_probes,low,int,3-20,TCP 정리 기준 조정,TCP keepalive 실패로 연결을 죽었다고 판단하기 전 보내는 probe 횟수다.,값을 낮추면 실패 판단이 빨라지고 값을 높이면 불안정한 회선에서 연결을 더 오래 보존한다.,낮추면 일시 장애에도 연결이 끊길 수 있다. 높이면 죽은 연결 정리가 늦어져 socket 자원이 오래 묶일 수 있다.
net.ipv4.tcp_slow_start_after_idle,medium,same_shape,현재값과 같은 형식,유휴후증속 조정,TCP 연결이 idle 후 다시 송신할 때 slow start로 돌아갈지 정한다.,끄면 장기 연결의 재송신 시작이 더 빠를 수 있고 켜면 혼잡 회피가 보수적으로 동작한다.,끄면 idle 뒤 갑작스런 burst가 생길 수 있다. WAN이나 혼잡 링크에서는 손실과 지연이 늘 수 있다. 서비스 트래픽 패턴을 확인해야 한다.
net.ipv4.tcp_ecn,medium,enum,0|1|2|3|4|5,ECN/AccECN 조정,TCP ECN 및 Accurate ECN 협상 방식을 제어한다. 0-2는 classic ECN 조합이고 3-5는 AccECN 수신 및 송신 조합이다.,ECN 또는 AccECN 지원 경로에서 packet loss 없이 더 정밀한 혼잡 신호를 받아 지연과 손실을 줄일 수 있다.,일부 오래된 장비나 경로와 호환 문제가 있을 수 있다. 3-5는 AccECN 배포 선택지이므로 peer와 경로 지원 여부를 확인해야 한다.
net.ipv4.tcp_max_tw_buckets,high,same_shape,현재값과 같은 형식,TIME_WAIT 상한 조정,시스템이 유지할 TIME_WAIT socket의 최대 개수다.,상한을 조정하면 연결 회전이 많은 환경에서 TIME_WAIT 누적과 자원 보호 기준을 바꿀 수 있다.,낮추면 정상 TIME_WAIT 보호가 줄어들 수 있다. 높이면 메모리 사용이 늘 수 있다. TIME_WAIT가 많은 원인을 먼저 확인해야 한다.
net.ipv4.tcp_orphan_retries,high,same_shape,현재값과 같은 형식,고아TCP 재시도 조정,프로세스가 소유하지 않는 orphan TCP socket의 재시도 정책을 정한다.,낮추면 고아 socket이 더 빨리 정리되어 자원 점유를 줄일 수 있다.,낮추면 느린 네트워크에서 정상 연결도 빨리 끊길 수 있다. 높이면 죽은 연결이 오래 남는다. 메모리 압력과 연결 품질을 같이 봐야 한다.
net.ipv4.tcp_max_orphans,high,same_shape,현재값과 같은 형식,고아TCP 상한 조정,시스템이 허용하는 orphan TCP socket의 최대 개수다.,상한을 조정하면 비정상 종료나 폭주 상황에서 TCP 자원 보호 기준을 바꿀 수 있다.,너무 낮으면 정상 연결도 끊길 수 있다. 너무 높으면 메모리 압력이 커진다. 커널 버전에 따라 없을 수 있다.
net.ipv4.tcp_no_metrics_save,medium,same_shape,현재값과 같은 형식,TCP학습값 저장 조정,TCP가 대상별 RTT와 cwnd 같은 학습 metric을 저장할지 제어한다.,저장을 끄면 과거 경로 상태가 새 연결에 덜 영향을 주고 저장을 켜면 반복 연결의 초기 추정이 좋아질 수 있다.,경로 상태가 자주 바뀌는 환경과 안정적인 환경의 효과가 다르다. 성능 변화가 미묘할 수 있어 장기 관찰이 필요하다.
net.ipv4.tcp_mtu_probing,medium,same_shape,현재값과 같은 형식,PMTU탐색 조정,TCP가 Path MTU 문제를 감지하고 probing할지 정한다.,켜면 PMTU blackhole이 있는 경로에서 MSS를 조정해 연결 안정성을 높일 수 있다.,잘못 조정하면 작은 MSS로 throughput이 낮아질 수 있다. MTU 문제인지 손실 문제인지 구분해야 한다.
net.ipv4.udp_rmem_min,medium,same_shape,현재값과 같은 형식,UDP수신최소 조정,UDP socket에 보장되는 최소 receive buffer 크기다.,값을 올리면 UDP 수신 burst에서 최소 buffer 여유가 늘어 drop 가능성을 낮출 수 있다.,UDP socket 수가 많으면 메모리 사용이 늘 수 있다. 애플리케이션 receive 속도가 느린 문제는 해결하지 못한다.
net.ipv4.udp_wmem_min,medium,same_shape,현재값과 같은 형식,UDP송신최소 조정,UDP socket에 보장되는 최소 send buffer 크기다.,값을 올리면 UDP 송신 burst에서 최소 buffer 여유가 늘 수 있다.,과도하면 메모리 사용이 커질 수 있다. 네트워크 혼잡이나 애플리케이션 pacing 문제를 숨길 수 있다.
net.ipv4.udp_mem,high,same_shape,현재값과 같은 형식,UDP 메모리압 조정,UDP 전체 메모리 사용량의 pressure 기준을 나타내는 임계값 묶음이다.,임계값을 조정하면 UDP socket이 많은 환경에서 메모리 압력 반응 시점을 바꿀 수 있다.,커널 메모리 보호 정책에 직접 영향이 있다. 값 단위와 자동 산정값을 이해해야 한다. 과도하면 메모리 압력이 커진다.
net.ipv4.ip_default_ttl,medium,same_shape,현재값과 같은 형식,기본TTL 조정,로컬에서 생성되는 IPv4 packet의 기본 TTL 값이다.,TTL을 조정하면 경로 hop 제한과 일부 진단 동작을 바꿀 수 있다.,일반 성능 튜닝 효과는 제한적이다. 너무 낮으면 정상 경로에서 packet이 도달하지 못할 수 있다. 네트워크 정책과 맞아야 한다.
net.ipv4.min_pmtu,medium,same_shape,현재값과 같은 형식,최소PMTU 조정,IPv4 목적지별 cache에 사용할 최소 Path MTU 기준이다.,값을 조정하면 PMTU cache가 너무 작은 값으로 내려가는 것을 제한할 수 있다.,너무 높이면 실제 작은 MTU 경로에서 fragmentation이나 연결 문제가 생길 수 있다. MTU blackhole 진단 뒤에 바꿔야 한다.
net.ipv4.fwmark_reflect,medium,same_shape,현재값과 같은 형식,fwmark반사 조정,커널이 생성하는 IPv4 응답 packet이 원인 packet의 fwmark를 이어받을지 정한다.,정책 라우팅이나 방화벽 mark 기반 경로에서 kernel reply의 경로 일관성을 높일 수 있다.,mark 기반 라우팅 설계를 모르면 예기치 않은 경로 변경이 생길 수 있다. 일반 서버 성능과 직접 관련은 작다.
net.ipv4.fib_multipath_*,high,same_shape,현재값과 같은 형식,ECMP해시 조정,IPv4 multipath route에서 nexthop 선택과 hashing 방식을 제어하는 계열이다.,해시 정책을 조정하면 ECMP 환경에서 flow 분산과 링크 활용률을 바꿀 수 있다.,잘못 바꾸면 flow 재배치나 경로 편중이 생긴다. 운영 라우팅 정책과 ECMP 토폴로지를 알고 적용해야 한다.
net.ipv4.neigh.default.*,medium,same_shape,현재값과 같은 형식,ARP캐시 조정,IPv4 neighbor table의 cache 정리와 미해결 neighbor queue 동작을 제어하는 계열이다.,ARP neighbor가 많거나 unresolved queue가 쌓이는 환경에서 cache 유지와 정리 동작을 조절할 수 있다.,잘못 조정하면 ARP 지연이나 cache churn이 늘 수 있다. L2 규모와 neighbor 수를 확인해야 한다.
net.ipv4.ipfrag_*,high,same_shape,현재값과 같은 형식,조각재조립 조정,IPv4 fragment reassembly의 메모리 임계값과 timeout과 거리 제한을 제어하는 계열이다.,fragment 트래픽이 많은 환경에서 재조립 메모리 사용과 timeout 동작을 조절할 수 있다.,fragment는 공격과 장애 신호일 수 있다. 임계값을 높이면 메모리 압력이 커진다. 낮추면 정상 fragment가 drop될 수 있다.
net.ipv4.inet_peer_*,medium,same_shape,현재값과 같은 형식,peer캐시 조정,INET peer cache의 크기와 수명 동작을 제어하는 계열이다.,많은 원격 peer와 통신할 때 peer cache 유지 비용과 재사용성을 조정할 수 있다.,효과가 workload에 따라 작을 수 있다. cache를 과하게 유지하면 메모리 사용이 늘고 과하게 줄이면 재계산이 늘 수 있다.
net.ipv4.port_allocation_*,high,same_shape,현재값과 같은 형식,포트할당 정책 조정,privileged bind 범위와 nonlocal bind와 autobind reuse 등 IPv4 포트 할당 정책 계열이다.,특수 서비스나 대량 outbound 연결에서 포트 할당 제약과 재사용 동작을 바꿀 수 있다.,보안 경계와 서비스 bind 정책에 직접 영향이 있다. 충돌과 권한 의미를 이해하지 못하면 적용하면 안 된다.
net.ipv4.early_demux_*,medium,same_shape,현재값과 같은 형식,early demux 조정,로컬 TCP와 UDP packet의 early demultiplexing 최적화 사용 여부를 제어하는 계열이다.,로컬 수신 경로에서 socket lookup 비용을 줄여 일부 workload의 처리 효율을 높일 수 있다.,라우팅이나 forwarding 중심 workload에서는 이점이 작거나 반대일 수 있다. 커널 경로별 효과를 관찰해야 한다.
net.ipv4.icmp_*,medium,same_shape,현재값과 같은 형식,ICMP동작 조정,IPv4 ICMP echo 처리와 rate limit와 오류 응답 동작을 제어하는 계열이다.,ICMP 폭주나 진단 트래픽이 많은 환경에서 응답량과 오류 처리 방식을 조절할 수 있다.,ICMP를 과하게 막으면 MTU 진단과 장애 분석이 어려워진다. 보안 정책과 운영 진단 필요성을 같이 봐야 한다.
net.ipv4.igmp_*,medium,same_shape,현재값과 같은 형식,IGMP동작 조정,IPv4 multicast group 수와 source filter와 IGMP robustness 동작을 제어하는 계열이다.,멀티캐스트 그룹이 많거나 IGMP 동작 조정이 필요한 환경에서 membership 한계와 보고 동작을 바꿀 수 있다.,멀티캐스트를 쓰지 않는 환경에서는 효과가 작다. 잘못 바꾸면 multicast 수신 안정성이 떨어질 수 있다.
net.ipv4.conf.*.arp_proxy,high,same_shape,현재값과 같은 형식,ARP동작 세부조정,인터페이스별 ARP 응답과 proxy ARP와 gratuitous ARP와 announce ignore 정책 계열이다.,특수 L2 구성이나 VIP와 proxy ARP 환경에서 ARP 응답 정책을 세밀하게 맞출 수 있다.,잘못 바꾸면 같은 LAN에서 주소 충돌이나 통신 단절이 생길 수 있다. 인터페이스별 의미를 알고 적용해야 한다.
net.ipv4.conf.*.neighbor_probe,medium,same_shape,현재값과 같은 형식,ARP탐색 재시도 조정,인터페이스별 ARP neighbor probe의 multicast unicast application 재시도 동작 계열이다.,neighbor 확인이 느리거나 불안정한 L2에서 probe 횟수와 재시도 동작을 조정할 수 있다.,과도하면 ARP 트래픽이 늘고 낮추면 neighbor 확인 실패가 빨라진다. L2 품질 문제와 구분해야 한다.
net.ipv4.tcp_loss_recovery_*,high,same_shape,현재값과 같은 형식,TCP복구방식 조정,TCP loss recovery와 DSACK와 early retransmit와 reordering 허용 범위를 제어하는 계열이다.,손실과 재정렬이 많은 경로에서 재전송과 복구 반응을 더 적합하게 조정할 수 있다.,고위험 TCP 동작 변경이다. 잘못 바꾸면 불필요한 재전송이나 회복 지연이 생긴다. 충분한 트래픽 관찰 뒤 적용해야 한다.
net.ipv4.tcp_ecn_*,medium,same_shape,현재값과 같은 형식,TCP ECN세부 조정,TCP ECN과 Accurate ECN의 option 전송과 beacon과 fallback 동작 계열이다. tcp_ecn 본값은 0-5로 classic ECN과 AccECN 조합을 가진다.,ECN 및 AccECN 지원 경로에서 혼잡 신호 처리와 호환 fallback을 세밀하게 조정할 수 있다.,경로와 장비 호환성이 중요하다. 일부 네트워크에서 연결 문제가 생길 수 있다. AccECN option 계열은 tcp_ecn 값과 함께 검토해야 한다.
net.ipv4.tcp_pmtu_*,medium,same_shape,현재값과 같은 형식,TCP PMTU세부 조정,TCP packetization layer PMTU probing과 최소 MSS 관련 동작 계열이다.,MTU blackhole이나 낮은 MSS 문제가 있는 경로에서 TCP packet 크기 적응을 조정할 수 있다.,작은 MSS는 throughput을 낮출 수 있다. MTU 문제와 혼잡 손실을 구분해야 한다. 경로별 검증이 필요하다.
net.ipv4.tcp_pacing_tso_*,medium,same_shape,현재값과 같은 형식,페이싱TSO 조정,TCP pacing 비율과 TSO segment 크기와 small queue와 notsent queue 동작 계열이다.,송신 burst와 queueing을 조절해 throughput과 latency 균형을 바꿀 수 있다.,너무 공격적이면 bufferbloat가 늘고 너무 보수적이면 throughput이 떨어진다. qdisc와 congestion control 영향도 같이 봐야 한다.
net.ipv4.tcp_memory_hash_*,high,same_shape,현재값과 같은 형식,TCP메모리해시 조정,TCP memory pressure와 orphan socket와 socket hash table 크기 관련 계열이다.,대량 연결 환경에서 TCP 메모리 보호와 hash table 동작을 조정할 수 있다.,커널 자원 관리에 직접 영향이 있다. 과도한 값은 메모리 압력이나 성능 회귀를 만든다. 현재 커널 지원 여부도 확인해야 한다.
net.ipv4.tcp_latency_compat_*,medium,same_shape,현재값과 같은 형식,TCP호환지연 조정,TCP small write coalescing과 idle slow start와 urgent pointer 호환 동작 계열이다.,소량 쓰기나 오래된 호환성 요구가 있는 workload에서 latency와 호환성 균형을 조정할 수 있다.,대부분 환경에서 효과가 미묘하다. 오래된 프로토콜 호환 옵션은 예상 밖 동작을 만들 수 있다. 측정 기반으로만 바꿔야 한다.
net.ipv4.tcp_ack_sack_rate_*,medium,same_shape,현재값과 같은 형식,ACK/SACK율 조정,duplicate ACK와 challenge ACK와 compressed SACK timing과 backlog ACK defer 계열이다.,ACK와 SACK 응답량을 조절해 CPU 사용과 recovery 반응을 바꿀 수 있다.,너무 제한하면 손실 복구가 늦어질 수 있고 너무 완화하면 ACK 트래픽이 늘 수 있다. 공격 방어 의미도 함께 고려해야 한다.
net.ipv4.tcp_vrf_tos_metrics_*,medium,same_shape,현재값과 같은 형식,VRF/TOS 동작 조정,TCP의 L3 master domain과 fwmark 수용과 TOS 반사와 destination metric 저장 계열이다.,VRF와 정책 라우팅 환경에서 TCP reply와 metric 동작을 더 일관되게 만들 수 있다.,일반 단일 라우팅 서버에서는 효과가 작다. VRF와 mark 정책을 모르면 경로가 달라질 수 있다.
net.ipv4.tcp_plb_*,high,same_shape,현재값과 같은 형식,TCP PLB 조정,TCP Protective Load Balancing의 enabled와 rehash와 suspend 조건 계열이다.,ECMP와 지원 congestion control 환경에서 불균형 flow를 재배치해 링크 활용을 개선할 수 있다.,지원 조건이 맞지 않으면 효과가 없거나 불안정할 수 있다. flow 재배치가 순서 뒤틀림을 만들 수 있다. ECMP 환경에서만 신중히 써야 한다.
net.ipv4.tcp_rto_*,high,same_shape,현재값과 같은 형식,TCP RTO 조정,TCP 최소 RTT window와 retransmission timeout 하한 상한과 probe 기준 계열이다.,손실 경로에서 재전송 반응 속도와 timeout 민감도를 조정할 수 있다.,너무 낮으면 spurious retransmission이 늘고 너무 높으면 장애 회복이 느려진다. WAN과 무선망에서는 특히 신중해야 한다.
net.ipv4.udp_hash_vrf_*,medium,same_shape,현재값과 같은 형식,UDP해시/VRF 조정,UDP L3 master domain 수용과 UDP socket hash table 관련 계열이다.,VRF 환경이나 대량 UDP socket 환경에서 lookup과 수신 동작을 조정할 수 있다.,hash table 관련 값은 커널 지원과 부팅 시점 제약이 있을 수 있다. VRF 정책을 모르면 경로 수신이 달라질 수 있다.
net.ipv4.raw_l3mdev_accept,medium,same_shape,현재값과 같은 형식,raw VRF수신 조정,globally bound raw socket이 L3 master domain across packet을 받을지 정한다.,VRF 환경에서 raw socket 기반 진단이나 수신 동작을 조정할 수 있다.,보안과 네임스페이스 경계 의미가 있다. 일반 TCP/UDP 성능 튜닝과는 거리가 있다. raw socket 사용 여부를 확인해야 한다.
net.ipv4.cipso_*,high,same_shape,현재값과 같은 형식,CIPSO동작 조정,CIPSO와 NetLabel cache와 option 검증 및 형식 관련 동작 계열이다.,MLS나 NetLabel 환경에서 CIPSO 처리 비용과 호환 동작을 조정할 수 있다.,일반 서버에서는 거의 건드릴 필요가 없다. 보안 라벨링 정책에 직접 영향이 있다. 정책 담당자 없이 변경하면 안 된다.
net.ipv6.bindv6only,medium,same_shape,현재값과 같은 형식,IPv6전용bind 조정,IPv6 socket이 기본적으로 IPv6 전용으로 동작할지 IPv4 mapped address도 받을지 정한다.,dual stack socket 동작을 명확히 하거나 IPv4와 IPv6 listener 분리를 강제할 수 있다.,서비스 bind 방식이 바뀌어 IPv4 접속이 끊길 수 있다. 애플리케이션이 IPV6_V6ONLY를 직접 설정하는지 확인해야 한다.
net.ipv6.flowlabel_*,medium,same_shape,현재값과 같은 형식,flowlabel 조정,IPv6 flow label 생성과 일관성 검사와 반사 동작 계열이다.,IPv6 flow 기반 분산이나 경로 정책에서 flow label 동작을 맞출 수 있다.,네트워크 장비가 flow label을 활용하지 않으면 효과가 작다. 잘못 바꾸면 flow 분산 특성이 달라질 수 있다.
net.ipv6.fib_multipath_*,high,same_shape,현재값과 같은 형식,IPv6 ECMP 조정,IPv6 multipath hashing과 nexthop 호환 모드와 route notification 동작 계열이다.,IPv6 ECMP 환경에서 flow 분산과 route 변화 알림 동작을 조정할 수 있다.,라우팅 정책과 ECMP 토폴로지를 모르면 경로 편중이나 flow 재배치가 생길 수 있다. 운영망에서는 고위험이다.
net.ipv6.extension_header_limits,medium,same_shape,현재값과 같은 형식,확장헤더 제한 조정,IPv6 Destination Options와 Hop-by-Hop option의 개수와 길이 제한 계열이다.,비정상 확장 헤더 트래픽을 제한하거나 필요한 확장 헤더 수용 범위를 조정할 수 있다.,너무 낮추면 정상 IPv6 확장 헤더 사용이 막힐 수 있다. 너무 높이면 처리 비용과 공격면이 커질 수 있다.
net.ipv6.ioam6_*,medium,same_shape,현재값과 같은 형식,IOAM 식별자 조정,IPv6 IOAM node identifier 관련 값이다.,IOAM 관측 환경에서 노드 식별 정보를 맞출 수 있다.,IOAM을 쓰지 않으면 성능 튜닝 효과가 없다. 관측 체계와 식별 정책에 맞춰야 한다.
net.ipv6.ip6frag_*,high,same_shape,현재값과 같은 형식,IPv6조각재조립 조정,IPv6 fragment reassembly의 메모리 임계값과 timeout 계열이다.,IPv6 fragment 트래픽에서 재조립 메모리와 timeout 동작을 조절할 수 있다.,fragment 처리는 공격면이 될 수 있다. 임계값을 높이면 메모리 압력이 커지고 낮추면 정상 fragment가 drop될 수 있다.
net.ipv6.conf.*.ra_autoconf,high,same_shape,현재값과 같은 형식,RA자동설정 조정,인터페이스별 IPv6 Router Advertisement 수용과 prefix와 default route와 MTU 학습 계열이다.,IPv6 SLAAC와 default route 학습 동작을 네트워크 정책에 맞게 조정할 수 있다.,RA 설정을 잘못 바꾸면 IPv6 주소나 default route가 사라질 수 있다. 서버와 라우터 역할 구분이 필수다.
net.ipv6.conf.*.address_generation_privacy,medium,same_shape,현재값과 같은 형식,IPv6주소생성 조정,인터페이스별 temporary address와 stable privacy address와 주소 생성 모드 계열이다.,privacy address 사용과 주소 수명과 생성 방식을 조정해 추적성 또는 안정성을 바꿀 수 있다.,주소가 바뀌면 ACL과 DNS와 세션 추적이 흔들릴 수 있다. stable_secret은 별도 차단 대상이다.
net.ipv6.conf.*.dad_ndisc,high,same_shape,현재값과 같은 형식,DAD/NDISC 조정,IPv6 Duplicate Address Detection과 Neighbor Discovery 알림과 drop 정책 계열이다.,주소 중복 검사와 neighbor discovery 동작을 환경에 맞게 조정할 수 있다.,잘못 바꾸면 주소 충돌 감지가 약해지거나 IPv6 neighbor 통신이 깨질 수 있다. 인터페이스별로 강하게 검토해야 한다.
net.ipv6.conf.*.mld_*,medium,same_shape,현재값과 같은 형식,MLD동작 조정,인터페이스별 IPv6 MLD robustness와 unsolicited report interval과 forced MLD version 계열이다.,IPv6 multicast listener 동작과 보고 주기를 조정할 수 있다.,멀티캐스트를 쓰지 않으면 효과가 작다. 잘못 바꾸면 IPv6 multicast 수신 안정성이 떨어질 수 있다.
net.ipv6.icmp.*,medium,same_shape,현재값과 같은 형식,ICMPv6동작 조정,ICMPv6 rate limit와 echo 응답과 anycast multicast 응답 정책 계열이다.,ICMPv6 응답량과 오류 처리 방식을 조절해 진단성과 노이즈를 균형 있게 맞출 수 있다.,ICMPv6는 IPv6 동작에 필수적인 부분이 많다. 과도하게 막으면 경로 발견과 이웃 탐색 관련 문제가 생길 수 있다.
